album,released,name,text
"Inneres Auge - Il tutto è più della somma delle sue parti
      ",2009,Inverno,"Sale la nebbia sui prati bianchi Come un cipresso nei camposanti Un campanile che non sembra vero Segna il confine fra la terra e il cielo Ma tu che vai, ma tu rimani Vedrai la neve se ne andrà domani Rifioriranno le gioie passate Col vento caldo di un'altra estate Anche la luce sembra morire Nell'ombra incerta di un divenire Dove anche l'alba diventa sera E i volti sembrano teschi di cera Ma tu che vai, ma tu rimani Anche la neve morirà domani L'amore ancora ci passerà vicino Nella stagione del biancospino La terra stanca sotto la neve Dorme il silenzio di un sonno greve L'inverno raccoglie la sua fatica Di mille secoli, da un'alba antica Ma tu che stai, perché rimani? Un altro inverno tornerà domani Cadrà altra neve a consolare i campi Cadrà altra neve sui camposanti"
"Fleurs 3
      ",2002,Col tempo sai,Col tempo sai Col tempo tutto se ne va Non ricordi più il viso Non ricordi la voce Quando il cuore ormai tace A che serve cercare ti lasci andare E forse è meglio così Col tempo sai Col tempo tutto se ne va L'altro che adoravi che cercavi nel buio L'altro che indovinavi in un batter di ciglia Tra le frasi e le righe e il fondotinta Di promesse agghindate per uscire a ballare Col tempo sai tutto scompare Col tempo sai Col tempo tutto se ne va Ogni cosa appassisce io mi scopro a frugare In vetrine di morte quando il sabato sera La tenerezza rimane senza compagnia Col tempo sai Col tempo tutto se ne va L'altro a cui tu credevi anche a un colpo di tosse L'altro che ricoprivi di gioielli e di vento Ed avresti impegnato anche l'anima al monte Per cui ti trascinavi alla pari di un cane Col tempo sai tutto va bene Col tempo sai Col tempo tutto se ne va Non ricordi più il fuoco Non ricordi le voci della gente da poco E il loro sussurrare Non ritardare copriti col freddo che fa Col tempo sai Col tempo tutto se ne va E ti senti il biancore di un cavallo sfiancato In un letto straniero ti senti gelato Solitario ma in fondo in pace col mondo E ti senti tradito dagli anni perduti Allora tu col tempo sai non ami più
"Il Vuoto
      ",2007,Niente è come sembra,Rovinò lungo la china solo chi ha un destino rovina Non voglio che l'impuro ti colga Ti darò a una rondine in volo Niente è come sembra niente è come appare Perché niente è reale Ti darò a un ruscello che scorre o alla terra piena di mimose Qualcuno si ferma al tuo passare Niente è come sembra niente è come appare Perché niente è reale I was in my car watching for the bend I was looking for you Dal balcone ammiravo il vuoto che ogni tanto un passante riempiva….. è stato solo un presentimento ti voglio ricordare che Niente è come sembra niente è come appare Perchè niente è reale
"Messa Arcaica
      ",1994,Kyrie,"Kyrie eleison, Christe eleison Kyrie eleison Christe eleison, Kyrie eleison Christe eleison"
"Anthology - Le Nostre Anime (CD 1)
      ",2015,Bandiera bianca,"[Strofa 1] Mr. Tamburino non ho voglia di scherzare Rimettiamoci la maglia i tempi stanno per cambiare Siamo figli delle stelle e pronipoti di sua maestà il denaro Per fortuna il mio razzismo non mi fa guardare Quei programmi demenziali con tribune elettorali E avete voglia di mettervi profumi e deodoranti Siete come sabbie mobili: tirate giù uh uh C'è chi si mette degli occhiali da sole Per avere più carisma e sintomatico mistero Uh com'è difficile restare padre quando i figli crescono e le mamme imbiancano Quante squallide figure che attraversano il paese Com'è misera la vita negli abusi di potere [Ritornello: Franco Battiato & Coro] Sul ponte sventola bandiera bianca Sul ponte sventola bandiera bianca Sul ponte sventola bandiera bianca Sul ponte sventola bandiera bianca [Strofa 2] A Beethoven e Sinatra preferisco l'insalata A Vivaldi l'uva passa che mi dà più calorie Uh! com'è difficile restare calmi e indifferenti Mentre tutti intorno fanno rumore In quest'epoca di pazzi ci mancavano gli idioti dell'orrore Ho sentito degli spari in una via del centro Quante stupide galline che si azzuffano per niente Minima immoralia Minima immoralia E sommersi soprattutto da immondizie musicali [Ritornello: Franco Battiato & Coro] Sul ponte sventola bandiera bianca Sul ponte sventola bandiera bianca Sul ponte sventola bandiera bianca Sul ponte sventola bandiera bianca [Outro] Minima immoralia × 25 The end: my only friend, this is the end: my only friend The end: my only friend × 3 Sul ponte sventola bandiera bianca × 3"
"L'Imboscata
      ",1996,La cura,"[Strofa 1] Ti proteggerò dalle paure delle ipocondrie Dai turbamenti che da oggi incontrerai per la tua via Dalle ingiustizie e dagli inganni del tuo tempo Dai fallimenti che per tua natura normalmente attirerai [Ritornello] Ti solleverò dai dolori e dai tuoi sbalzi d'umore Dalle ossessioni delle tue manie Supererò le correnti gravitazionali Lo spazio e la luce per non farti invecchiare E guarirai da tutte le malattie Perché sei un essere speciale Ed io, avrò cura di te [Bridge] Vagavo per i campi del Tennessee Come vi ero arrivato, chissà Non hai fiori bianchi per me? Più veloci di aquile i miei sogni Attraversano il mare [Strofa 2] Ti porterò soprattutto il silenzio e la pazienza Percorreremo assieme le vie che portano all'essenza I profumi d'amore inebrieranno i nostri corpi La bonaccia d'agosto non calmerà i nostri sensi [Ritornello] Tesserò i tuoi capelli come trame di un canto Conosco le leggi del mondo, e te ne farò dono Supererò le correnti gravitazionali Lo spazio e la luce per non farti invecchiare Ti salverò da ogni malinconia Perché sei un essere speciale ed io avrò cura di te Io sì, che avrò cura di te"
"Caffè De La Paix
      ",1993,Caffé de la Paix,"Ci si risveglia ancora in questo corpo attuale Dopo aver viaggiato dentro il sonno L'inconscio ci comunica coi sogni Frammenti di verità sepolte: Quando fui donna o prete di campagna Un mercenario o un padre di famiglia Per questo in sogno ci si vede un pò diversi E luoghi sconosciuti sono familiari Restano i nomi e cambiano le facce E l'incontrario: tutto può accadere Com'era contagioso e nuovo il cielo.... E c'era qualche cosa in più nell'aria Vieni a prendere un tè Al ""Caffé de la Paix""? Su vieni con me Devo difendermi da insidie velenose E cerco di inseguire il sacro quando dormo Volando indietro in epoche passate In cortili, in primavera Le sabbie colorate di un deserto Le rive trasparenti dei ruscelli Vieni a prendere un tè Al ""Caffé de la Paix""? Su vieni con me Ancora oggi, le renne della tundra Trasportano tribù di nomadi Che percorrono migliaia di chilometri in un anno... E a vederli mi sembrano felici Ti sembrano felici?"
"Gilgamesh
      ",1992,Solo,[Strumentale]
"Gilgamesh
      ",1992,Balletto,[Coro] Gilgamesh! Enkidu! Khumbaba!
"Inneres Auge - Il tutto è più della somma delle sue parti
      ",2009,Stage door,Mi sembra di viaggiare In zone rarefatte del pensiero Dove si affina la mia disposizione a vivere Che si inebria di stili e discipline In un insieme Irridente di parche voglie Celebro il mio vanto i miei sensi la mia unicità Furono giorni di stanchezza assurda e depressiva Di una totale mancanza di lucidità Quando ti chiedi in qualche letto sconosciuto Che cosa hai fatto e perchè vivi in tanta estraneità Sapessi che dolore l'esistenza Che vede nero dove nero non ce n'è Il fatto è che non posso più tornare indietro Che non riesco a vivere con te né senza di te Credimi Ma io vorrei essere un'aquila Vedere il piano del mondo che inclina verso di noi E le leggi che si inchinano Lanciarmi a inseguire il tuo deserto E i poteri solenni E le porte dorate Cominciare di nuovo il viaggio
"Ferro Battuto
      ",2001,Hey Joe,"Hey Joe, where you goin' with that gun in your hand? Hey joe, I said where you goin' with that gun in your hand? I'm goin' down to shoot my old lady You know, I caught her messin'round with another man Hey Joe, I heard you shot your woman down, down to the ground Ain't cool (Where you gonna run to now? Where you, gonna run to? Where you, gonna go?) I'm going down to Mexico Way where I can be free"
"Gilgamesh
      ",1992,Romanza,"[Soprano] Gilgamesh, lascia il tuo corpo immobile, viaggerai sul suono in cerca di Utnapishtim, l’uomo immortale."
"Il Vuoto
      ",2007,Stati di gioia,"Le azioni del mondo non influenzano il sole E i nemici è sicuro sono dentro di noi Com'è possibile restare ciechi per così lungo tempo Mi trovavo a lottare contro i miei fantasmi Spostandomi in avanti per quanto lo permette la catena Scopersi per caso lo stato che ascende alla Gioia Masticavo semi di mela alla luce del mattino Le increspature dell'aria sembravano pulsare Mi giungevano frasi, odori di erbe bruciate Scintille di fuochi suoni lontani Masticavo semi di mela alla luce del mattino Le increspature dell'aria sembravano pulsare Era l'estate del '63 un pomeriggio assolato Da un juke-box di un bar completamente vuoto ""She loves you ye ye ye"" Riti di purificazione dentro stati di Gioia Senza Luce né Oscurità"
"Fleurs 3
      ",2002,Ritornerai,Ritornerai lo so ritornerai E quando tu sarai con me Ritroverai le stesse cose che Tu non volevi vedere intorno a te E scoprirai che nulla è cambiato Che sono restato l'illuso di sempre E riderai quel giorno riderai Ma non potrai lasciarmi più Ti senti sola con la tua libertà Ed è per questo che tu ritornerai E scoprirai che nulla è cambiato Che sono restato l'illuso di sempre
"Como Un Camello En Un Canalón
      ",1991,La sombra de la luz,Defiéndeme de las fuerzas contrarias En el sueño nocturno cuando no soy consciente Cuando mi sendero se hace incierto Y no me dejes nunca más No me dejes nunca màs D evuélveme a las zonas más altas A uno de tus reinos de calma Es tiempo de escapar de este ciclo de vida Y no me dejes nunca más No me dejes nunca màs Porque los gozos del más profundo afecto O del anhelo más sutil de pulso Solo son la sombra de la luz? Recuérdame lo infeliz que me siento Lejos de todas tus leyes Como no malgastar el tiempo que me queda? Y no me dejes nunca más No me dejes nunca màs Porque la paz de ciertos monasterios O la armonía vibrante de todos mis sentidos Solo son la sombra de la luz?
"L'Ombrello E La Macchina Da Cucire
      ",1995,Tao,"Tao, ama secondo il Tao Ritieni il seme Duecentocinquanta milioni di spermatozoi In un solo orgasmo Un solo uomo può popolare la terra"
"Ferro Battuto
      ",2001,Scherzo in minore,Accanto a un platano ingiallito Ti giurai amore per l’eternità Mi risvegliavi un’innocenza preadamitica E un’immobilità Ma l’uomo non è pietra di tungsteno E cambia spesso proprietà Uccide sempre a tradimento con veleno di invidia e d’infedeltà E i giorni si cancellano l’un l’altro E il caldo al freddo si unisce svelto Con mosse da levriero il mio dolore cambia pur esso il suo colore Ho visto un lampo illuminare scene del futuro Gli anni mi dividono in sparse parti Il numero sapessi lascia tracce
"Echoes of Sufi Dances
      ",1985,I want to see you as a dancer,I want to see you as a dancer Like the desert gypsy women Whit candelabras on their heads Or like the balineses On their holidays I want to see you as a dancer Like dervishes tourneurs Who twist around around their back-bones To the sound of ankle bracelets of Katakali The walls are turning turning all around us As we are dancing Dancing The walls are turning turning all around us As we are dancing And radio Tirana's playing Music from Balkan For Bulgarian dancers With bare feet they dance on burning embers In the oriental island In sunny summer dance halls Couples of old folks are dancing To a rhythm in seven-eight The walls are turning turning all around us As we are dancing Dancing The walls are turning turning all around us As we are dancing In the rhythm of the heath -the key Of old tribal magical rites Kingdoms of the Shamans And rebel players on the road again Down across the plainlands In sunny summer dance halls Couples of old folks are dancing A classical Viennese waltz
"Anthology - Le Nostre Anime (CD 1)
      ",2015,Le Nostre Anime,"T’incontro nella stessa galleria Dove ci siamo lasciati T’incontro nella stessa galleria Dove ci siamo lasciati e persi di vista Come succede spesso nella vita Mi ricordo che ti piaceva danzare Alla maniera classica C’eravamo tanto amati E non l’abbiamo capito Forse eravamo troppo giovani Legati da storie di sesso Non è strano che ci si trovi come un tempo Quando ci capivamo guardandoci negli occhi è bello rivederti, davvero Scendono inaspettatamente lacrime Come pioggia spontanee Da allegria Riprendiamo il sentiero Con lo stesso cammino Verso la stessa meta Nell’aria del mattino Abbiamo attraversato una vita Piena di cambiamenti Abbiamo imparato a contemplare La natura e i desideri Verso l’immaginazione Le visioni arriveranno Improvvise e impensabili Riserviamo al cuore Una lode Il sole tramonta E nasconde il raggio Della sua conoscenza Riprendiamo il sentiero Con lo stesso cammino Verso la stessa meta Le nostre anime Cercano altri corpi In altri mondi Dove non c’è dolore Ma solamente Pace E amore Amore"
"Fleurs 2
      ",2008,L'addio,"Con la fine dell'estate Come in un romanzo l'eroina Visse veramente prigioniera Con te dietro la finestra guardavamo Le rondini sfrecciare in alto in verticale Ogni tanto un aquilone Nell'aria curva dava obliquità a quel tempo Che lascia andare via, che lascia andare via Gli idrogeni nel mare dell'oblio Da una crepa sulla porta ti spiavo nella stanza Un profumo invase l'anima E una luce prese posto sulla cima delle palme Con te dietro la finestra guardavamo Le rondini sfrecciare in alto in verticale Lungo strade di campagna Stavamo bene Per orgoglio non dovevi Lasciarmi andare via, lasciarmi andare via Ogni tanto un aquilone Nell'aria curva dava obliquità a quel tempo Che lascia andare via, che lascia andare via Gli idrogeni nel mare dell'oblio Quando me ne andai di casa Finsi un'allegria ridicola Dei ragazzi uscivano da scuola Dietro alla stazione sopra una corriera L'addio"
"L'Imboscata
      ",1996,Splendide previsioni,Brief an das Nichts Unbekanntes Nichts Sage mir ein Wort Eine Schnee Nadel jenseits des Schweigens Le previsioni danno nuvole nere Stormi di temporali in arrivo Io sono pronto ad ogni evenienza Ad ogni nuova partenza: Un viaggiatore che non sa dove sta andando... Enormi uccelli d'oro solcano il cielo Spruzzi di fuoco da i forni La gente vive senza più testa La specie è in mutazione E non sappiamo dove stiamo andando... Eine Briefmarke mit tropischen Urpflanzen Die Schatten sind umgekehrt Zauber Grün vergiftetes Grün Die Hand die schreibt ist ebenso ein Schatten You and I will never die Standing in the shadow Of the night In un punto altissimo Inaccessibile And I'm never in touch With your heart Le previsioni danno nuvole nere Stormi di temporali in arrivo Io sono pronto ad ogni evenienza Ad ogni nuova partenza: E non sappiamo dove stiamo andando Die Hand die schreibt Ist ebenso ein Schatten Aus der Ferne ein Klang Wenn mann zuhört Ist er schon verschwunden
"Fleurs
      ",1999,Medievale,"Sdraiato su un'amaca A prendere il sole Leggendo un libro Di poesia medievale Amor quando mi membra Li temporal che vanno Che m'han tenuto danno Già non é maraviglia s'io sconforto Però talor mi sembra Ciascuna gioia affanno E lealtate inganno E ciascuna ragion mi pare torto Un fascio di serici sogni Incorona le notti e i riposi Un balzo di tigre inquieta Mi sveglia al giorno E paremi vedere Fera dismisuranza Chi buon'uso e leanza Voglia a lo mondo Già mai mantenere Più che'n gran soperchianza Torna per me piacere E'n gran follia savere Per ch'io son stato lasso, in gran erranza"
"Orizzonti Perduti
      ",1983,La stagione dell'amore,"La stagione dell'amore viene e va I desideri non invecchiano quasi mai con l'età Se penso a come ho speso male il mio tempo Che non tornerà, non ritornerà più La stagione dell'amore viene e va All'improvviso senza accorgerti, la vivrai, ti sorprenderà Ne abbiamo avute di occasioni Perdendole; non rimpiangerle, non rimpiangerle mai Ancora un altro entusiasmo ti farà pulsare il cuore Nuove possibilità per conoscersi E gli orizzonti perduti non ritornano mai La stagione dell'amore tornerà Con le paure e le scommesse questa volta quanto durerà Se penso a come ho speso male il mio tempo Che non tornerà, non ritornerà più"
"Caffè De La Paix
      ",1993,Delenda Carthago,"Per terre incognite vanno le nostre legioni A fondare colonie a immagine di Roma ""Delenda Carthago"" Con le dita colorate di henna su patrizi triclini Si gustano carni speziate d'aromi d'Oriente; In calici finemente screziati frusciano i vini Le rose, il miele Nei circhi e negli stadi S'ammassano turbe stravolte A celebrare riti di sangue ...Conferendis pecuniis Ergo sollicitae tu causa, pecunia, vitae! Per te immaturum mortis adimus iter; Tu vitiis hominum crudelia pabula praebes Semina curarum de capite orta tuo"
"Fisiognomica
      ",1988,Il mito dell'amore,"Il mito dell'amore vive Si nutre di fantasia Quando t'innamori è tutto bello Anche come ti ossessionano i pensieri Nell'attrazione bisogno di unità Echi di mantra nel suono del suo nome Un giorno da ragazzi Camminavamo sul lungomare Mi disse ""Sanno già di noi Vieni a casa ti presento ai miei"" Mi tocchi il cuore e la libertà Ma solo l'idea mi fa sentire prigioniero Nei valori tradizionali Il senso di una via Primordiali movimenti interni a un'emozione Amore mio Resisterai a un altro addio Il mito dell'amore muore Senza tante cortesie Ti accorgi che è finita Da come cadi nell'insofferenza Ciò che ti unisce Ti dividerà Nei miei ricordi La Quarta Sinfonia di Brahms"
"Dieci Stratagemmi
      ",2004,Apparenza e realtà,"Atomi eterni Inalterabili e senza causa Wer die Natur retten will, wird sie verlieren Kein schüler zu sein und kein Meister zu können Ihr blaues blut Den sie noch mit der realität Über ruinen Soviel Schein, soviel sein Apparenza e realtà Soviel Schein, soviel sein Tempi tumultuosi e quindi resto confinato nella mia stanza Immobilizzato da così tanta lontananza al mondo Mi sento estraneo Wer die Natur retten will, wird sie verlieren Kein schüler zu sein und kein Meister zu können Soviel Schein, soviel sein Apparenza e realtà Soviel Schein, soviel sein Apparenza e realtà"
"Come Un Cammello In Una Grondaia
      ",1991,L'ombra della Luce,"Difendimi dalle forze contrarie La notte, nel sonno, quando non sono cosciente Quando il mio percorso, si fa incerto E non abbandonarmi mai... Non mi abbandonare mai! Riportami nelle zone più alte In uno dei tuoi regni di quiete: E' tempo di lasciare questo ciclo di vite E non abbandonarmi mai... Non mi abbandonare mai! Perchè, le gioie del più profondo affetto O dei più lievi aneliti del cuore Sono solo l'ombra della luce Ricordami, come sono infelice Lontano dalle tue leggi; Come non sprecare il tempo che mi rimane E non abbandonarmi mai... Non mi abbandonare mai! Perchè, la pace che ho sentito in certi monasteri O la vibrante intesa di tutti i sensi in festa Sono solo l'ombra della luce"
"Apriti Sesamo
      ",2012,Caliti junku,"Che farò senza Euridice, dove andrò senza il mio bene... Che farò, dove andrò, che farò senza il mio bene 'Per aspera ad Astra', le asperità conducono alle Stelle Un antico detto, cinese o tibetano, forse arabo-siciliano, dice così: Caliti junku 'ca passa la China, caliti Junku, da sira 'a matina Milioni di anni luce, la legge che esprime si illumina di cielo ""mindfulness"", la forma è sostanza, la forma è sostanza, mentre il vento mi porta improvvise allegrie Caliti junku 'ca passa la china, caliti Junku, da sira 'a matina, caliti junku Do you see the dramatic escalation of violence? The world outside is insane, it's full of evils Without wasting time, we take refuge In the empty Essence (Lo vedi il drammatico aumento di violenza ? Il mondo fuori è insano, è pieno di mali Senza perdere tempo, rifugiamoci nella vuota Essenza) ... caliti junku ecc"
"Apriti Sesamo
      ",2012,Eri con me,"Siamo detriti, relitti umani, trascinati da un fiume in piena Che non conosce soste nè destinazione La nostra mente, le nostre azioni, sono la 'causa', gli effetti Invece, il nostro destino Ciò che deve accadere, accadrà, qualunque cosa facciamo per evitarlo, ciò che deve accadere, accadrà Perchè è già accaduto! Eri con me, ma io non ero con te Sei con me, ma io non sono con te Ero con te, ma tu non eri con me Viviamo nell'impermanenza, nell'incertezza della vita condizionata, ma ci ricorderemo di noi segretamente Arriverà il giorno atteso a schiudere gli impediti passaggi Prepariamoci a nuove esistenze... Eri con me, ma io non ero con te Sei con me, ma io non sono con te Ero con te, ma tu non eri, non eri, con me"
"L'Imboscata
      ",1996,Memorie di Giulia,"Quel letto d'ottone in cui mi accoglievi giovinetto Il radiogrammofono che prendeva tutto Quando ti portavo in quel caffè ""prego, fragole con panna"" dicevo E superbo ti guardavo mentre l'altro Mi ricambiava con disprezzo Sogghignando verso te E la tua foto che portai tanti anni addosso Prima che un cassetto l'accogliesse e la sbiadisse Seppi della tua morte E rividi i tuoi boccoli E sul tuo viso la sorte La mia memoria trae fuori i ricordi da un cappello Senza che io sappia perché questo e non quello Ho avuto delle gioie. Talvolta Si dormiva tutti e tre Io tua madre e te nello stesso letto Ma che innocenza, che santa trinità Era un gesto d'affetto e di rispetto O memoria perché mi inganni Perché come se fossi vento Mi butti questa polvere negli occhi Accarezzavo le tue ginocchia E il tuo semplice cuore era contento Ho avuto delle gioie, sì Ti ricordo così, povera Giulia, gaia e ridente Impaziente mi aspettava la vita Mentre il vento frizzante del mattino Si portava via ogni cosa Avevo diciassette anni"
"Genesi
      ",1987,Introduzione II Atto,[Baritono] Tout n’était Rien Rien était Tout Tout était Dieu Dieu n’était Rien Dieu était Tout Silence d’avant-éternité Le temps n’était pas né
"Gilgamesh
      ",1992,Secondo Viaggio,[Strumentale]
"Gilgamesh
      ",1992,Terzo Viaggio,[Strumentale]
"Foetus
      ",1999,Phenomenology,The thought ways are weak The voice is marble and cement And I live in spite of myself... It's hard to get the controls going All I can see is fog The outlines become thin I've already forgotten my dimension And I have no power standing away from myself
"L'Imboscata
      ",1996,Ecco com'è che va il mondo,"Era la più grassa puttana Che mai avessi visto La donna più grassa che avessi guardato Aveva un vestito di seta cangiante Perline al collo, un ventaglio di struzzo Mani delicate Uno le disse: ""schifosa montagna di grasso"" Rise e dimenò il corpo come a dire sì O buon Gesù, certo sì Farlo con te non deve essere comodo Sei grassa come tre..... E invece no, invece mi dicono Che bel posto hai Sei più bella di Marilyn O di Evelyn, non ricordo più Rise e dimenò il capo Farfugliò qualcosa, come a dire sì Vedete come va il mondo? Ecco com'è che va il mondo! La mia anima non stilla miele e dolcezze Happyness and truth, bisogni naturali Ma io ho una bambina, negli intervalli Che mi accarezza i bianchi capelli E gli anni si fanno docili al suo tocco Mi bacia sulle guance crudeli E giochi pazienti di rami mi intreccia Con le sue pupille da gatta Era d'aprile o forse era maggio? Per caso la rincontrai Risi e dimenai il capo Accennai qualcosa come a dire sì Vedete come va il mondo? Ecco com'è che va il mondo!"
"Giubbe Rosse
      ",1989,Lettera al Governatore della Libia,Presso una casa antica e bella Piena di foto di Regine e di bandiere Aspettavamo il Console Italiano La fine dell'estate fu veloce Nuvole nere in cielo e qualche foglia in terra Carico di Lussuria si presentò l'Autunno di Bengasi Lo sai che è desiderio della mano L'impulso di toccarla Ho scritto già una lettera al Governatore della Libia I trafficanti d'armi Occidentali Passano coi Ministri accanto alle frontiere Andate a far la guerra a Tripoli Nel cielo vanno i cori dei soldati Contro Al Mukhtar e Lawrence d'Arabia Con canti popolari da osteria Lo sai che quell'idiota di Graziani Farà una brutta fine Ho scritto già una lettera al Governatore della Libia...
"Il Vuoto
      ",2007,I giorni della monotonia,"Stavi giù distesa sopra il letto E ti lasciavi andare come alla deriva Passavamo così attraverso impervie vie I giorni della monotonia Tutti e due le labbra sulle tue Gli attimi vissuti intensamente Sono spenti Stare insieme a te fu il delirio Di una storia della nostra estrema diversità E mi innamorai ossessivamente Per distruggermi ""..stringimi.."" Mi sussuravi piano: ""caro amore"" Giorni di immensa meraviglia E giorni di cattività Tra noi due poi scoppiò il diluvio Lux eterna domine in excelsis deo Passavamo così attraverso impervie vie I giorni della monotonia Tutti e due le labbra sulle tue Gli attimi vissuti intensamente Sono spenti Sto con me tra noi due ho scelto me"
"Genesi
      ",1987,Kyrie Eleison,[Coro] Kyrie eleison Kyrie eleison Adoramus Te Benedicimus Te Laudamus Te [Tenore] Gerarchia dei raggi di Luce Liturgia del tempo Dalle lacrime al sorriso Dalle nozze al parto Dal sonno al risveglio [Coro] Tutto Niente Universo Sole Terra Luna
"Nomadas
      ",1987,Via Láctea,"Nos levantamos antes del alba, listos para transportar Dentro de un satélite artificial que nos conduce deprisa A las puertas de Sirio donde un equipo experimental Se preparaba al largo viaje Somos provincianos de la Osa Menor A la conquista del espacio interestelar Y vestidos de gris claro por no perdernos Seguimos cierta ruta en diagonal por la Vía Láctea Seguimos cierta ruta en diagonal por la Vía Láctea Un capitán del Centro Impresiones preso de agotamiento De inmediato enviado al exilio me preparaba al largo viaje Donde uno se pierde Seguimos cierta ruta en diagonal por la Vía Láctea Seguimos cierta ruta en diagonal por la Vía Láctea"
"Giubbe Rosse
      ",1989,Sequenze E Frequenze,La maestra in estate Ci dava ripetizioni Nel suo cortile Io stavo sempre seduto Sopra un muretto A guardare il mare Ogni tanto passava una nave Ogni tanto passava una nave E le sere d'inverno Restavo rinchiuso in casa Ad ammuffire Fuori il rumore dei tuoni Rimpiccioliva la mia candela Al mattino improvviso il sereno Mi portava un profumo di terra
"Anthology - Le nostre anime (CD 2)
      ",2015,Center of gravity,[Strofa 1: Mika] Narcissistic chansonniers fighting delusional poetry With the electric demons and spiritual fugues Smiling girls gives a start Bowing to the powdered queen and her clever dandy Stars are lighting renaissance Everything is making sense always Finding enlightened impeccable data [Franco Battiato] And now I'm losing control [Ritornello: Franco Battiato & Mika] Looking for a perpetual center of gravity That doesn't let me think about people In all the world that spins around me Nothing that matters more Looking for a perpetual center of gravity So I don't have to think about people In all the world that spins around me Over and over again [Strofa 2: Franco Battiato] Mystical and majestic The air in Moscow cathedral A cold winter's day I'm fading away Alienating??? Are walking the city with vague strength To fulfill their mission and living agreement But they don't know what it's for [Ritornello: Franco Battiato & Mika] I'm just searching for a permanent center of gravity Within an overdose of information In a world that spins around me Nothing that matters more I'm just searching for a permanent center of gravity Within an overdose of information In a world that spins around me Over and over again [Outro] You are a woman in love Baby I need your love I want your love over and over again
"Joe Patti's Experimental Group
      ",2014,L'isola Elefante,"[Strofa 1] Stille Dämmerung Der Garten ist gefrohren Die Rosen erlitten, Sage mir warum. Stille Dämmerung Der Garten ist gefrohren Die Rosen erlitten. Sage mir warum. [Strofa 2] Sage mir warum, In einem verlorenen Garten Sage mir warum deine Stimme hören Sage mir warum schweige bitte nicht schweige bitte nicht"
"Mondi Lontanissimi
      ",1985,No Time No Space,Parlami dell' esistenza di mondi lontanissimi Di civiltà sepolte di continenti alla deriva Parlami dell'amore che si fa in mezzo agli uomini Di viaggiatori anomali in territori mistici ... di più Seguimmo per istinto le scie delle Comete Come Avanguardie di un altro sistema solare No Time No Space Another race of vibrations The sea of the simulation Keep your feelings in memories I love you especially tonight Controllori di volo pronti per il decollo Telescopi giganti per seguire le stelle Navigare navigare nello spazio nello spazio ... di più No Time No Space Another race of vibrations The sea of the simulation Keep your feelings in memories I love you especially tonight
"Inneres Auge - Il tutto è più della somma delle sue parti
      ",2009,Tibet,[Strofa 1: Franco Battiato] We cannot excuse you For your behaviour The great China The divine empire Has fallen into dishonour Politicians kill the monk Refusing to listen and to reason Keep your hands off Tibet now [Strofa 2: Franco Battiato e Chiara Vergati] We cannot excuse you For your behaviour The great China The divine empire Has fallen into dishonour Politicians kill the monk Refusing to listen and to reason Keep your hands off Tibet now
"Mondi Lontanissimi
      ",1985,I treni di Tozeur,Nei villaggi di frontiera guardano passare i treni Le strade deserte di Tozeur Da una casa lontana tua madre mi vede Si ricorda di me delle mie abitudini E per un istante ritorna la voglia di vivere A un'altra velocità Passano ancora lenti i treni per Tozeur Nelle chiese abbandonate si preparano rifugi E nuove astronavi per viaggi interstellari In una vecchia miniera distese di sale E un ricordo di me come un incantesimo E per un istante ritorna la voglia di vivere A un'altra velocità Passano ancora lenti i treni per Tozeur Nei villaggi di frontiera guardano passare I treni per Tozeur
"Fisiognomica
      ",1988,E ti vengo a cercare,E ti vengo a cercare Anche solo per vederti o parlare Perché ho bisogno della tua presenza Per capire meglio la mia essenza Questo sentimento popolare Nasce da meccaniche divine Un rapimento mistico e sensuale Mi imprigiona a te Dovrei cambiare l'oggetto dei miei desideri Non accontentarmi di piccole gioie quotidiane Fare come un eremita Che rinuncia a sé E ti vengo a cercare Con la scusa di doverti parlare Perché mi piace ciò che pensi e che dici Perché in te vedo le mie radici Questo secolo oramai alla fine Saturo di parassiti senza dignità Mi spinge solo ad essere migliore Con più volontà Emanciparmi dall'incubo delle passioni Cercare l'Uno al di sopra del Bene e del Male Essere un'immagine divina Di questa realtà E ti vengo a cercare Perché sto bene con te Perché ho bisogno della tua presenza
"Fleurs 2
      ",2008,It's five o'clock,It's five o'clock And I walk through the empty streets Thoughts fill my head But then still No one speaks to me My mind takes me back To the years that have passed me by [interlude] It is so hard to believe That it's me That I see In the window pane It it so hard to believe That all this is the way That it has to be It's five o'clock And I walk through the empty streets The night is my friend And in him I find sympathy Thus so And so I go back to the years that have past me by [interlude] It is so hard to believe That it's me That I see In the window pane It it so hard to believe That all this is the way That it has to be It's five o'clock And I walk through the empty streets The night is my friend And in him I find sympathy He gives me day Gives me hope And a little dream too
